"","x"
"1","20020704"
"2","20020712"
"3","20020720"
"4","20020728"
"5","20020805"
"6","20020813"
"7","20020821"
"8","20020829"
"9","20020906"
"10","20020914"
"11","20020922"
"12","20020930"
"13","20021008"
"14","20021016"
"15","20021024"
"16","20021101"
"17","20021109"
"18","20021117"
"19","20021125"
"20","20021203"
"21","20030101"
"22","20030109"
"23","20030117"
"24","20030125"
"25","20030202"
"26","20030210"
"27","20030218"
"28","20030226"
"29","20030306"
"30","20030314"
"31","20030322"
"32","20030330"
"33","20030407"
"34","20030415"
"35","20030423"
"36","20030501"
"37","20030509"
"38","20030517"
"39","20030525"
"40","20030602"
"41","20030610"
"42","20030618"
"43","20030626"
"44","20030704"
"45","20030712"
"46","20030720"
"47","20030728"
"48","20030805"
"49","20030813"
"50","20030821"
"51","20030829"
"52","20030906"
"53","20030914"
"54","20030922"
"55","20030930"
"56","20031008"
"57","20031016"
"58","20031024"
"59","20031101"
"60","20031109"
"61","20031117"
"62","20031125"
"63","20040109"
"64","20040117"
"65","20040125"
"66","20040202"
"67","20040210"
"68","20040218"
"69","20040226"
"70","20040305"
"71","20040313"
"72","20040321"
"73","20040329"
"74","20040406"
"75","20040414"
"76","20040422"
"77","20040430"
"78","20040508"
"79","20040516"
"80","20040524"
"81","20040601"
"82","20040609"
"83","20040617"
"84","20040625"
"85","20040703"
"86","20040711"
"87","20040719"
"88","20040727"
"89","20040804"
"90","20040812"
"91","20040820"
"92","20040828"
"93","20040905"
"94","20040913"
"95","20040921"
"96","20040929"
"97","20041007"
"98","20041015"
"99","20041023"
"100","20041031"
"101","20041108"
"102","20041116"
"103","20041124"
"104","20050101"
"105","20050109"
"106","20050117"
"107","20050125"
"108","20050202"
"109","20050210"
"110","20050218"
"111","20050226"
"112","20050306"
"113","20050314"
"114","20050322"
"115","20050330"
"116","20050407"
"117","20050415"
"118","20050423"
"119","20050501"
"120","20050509"
"121","20050517"
"122","20050525"
"123","20050602"
"124","20050610"
"125","20050618"
"126","20050626"
"127","20050704"
"128","20050712"
"129","20050720"
"130","20050728"
"131","20050805"
"132","20050813"
"133","20050821"
"134","20050829"
"135","20050906"
"136","20050914"
"137","20050922"
"138","20050930"
"139","20051008"
"140","20051016"
"141","20051024"
"142","20051101"
"143","20051109"
"144","20051117"
"145","20051125"
"146","20051203"
"147","20060101"
"148","20060109"
"149","20060117"
"150","20060125"
"151","20060202"
"152","20060210"
"153","20060218"
"154","20060226"
"155","20060306"
"156","20060314"
"157","20060322"
"158","20060330"
"159","20060407"
"160","20060415"
"161","20060423"
"162","20060501"
"163","20060509"
"164","20060517"
"165","20060525"
"166","20060602"
"167","20060610"
"168","20060618"
"169","20060626"
"170","20060704"
"171","20060712"
"172","20060720"
"173","20060728"
"174","20060805"
"175","20060813"
"176","20060821"
"177","20060829"
"178","20060906"
"179","20060914"
"180","20060922"
"181","20060930"
"182","20061008"
"183","20061016"
"184","20061024"
"185","20061101"
"186","20061109"
"187","20061117"
"188","20061125"
"189","20070109"
"190","20070117"
"191","20070125"
"192","20070202"
"193","20070210"
"194","20070218"
"195","20070226"
"196","20070306"
"197","20070314"
"198","20070322"
"199","20070330"
"200","20070407"
"201","20070415"
"202","20070423"
"203","20070501"
"204","20070509"
"205","20070517"
"206","20070525"
"207","20070602"
"208","20070610"
"209","20070618"
"210","20070626"
"211","20070704"
"212","20070712"
"213","20070720"
"214","20070728"
"215","20070805"
"216","20070813"
"217","20070821"
"218","20070829"
"219","20070906"
"220","20070914"
"221","20070922"
"222","20070930"
"223","20071008"
"224","20071016"
"225","20071024"
"226","20071101"
"227","20071109"
"228","20071117"
"229","20071125"
"230","20080101"
"231","20080109"
"232","20080117"
"233","20080125"
"234","20080202"
"235","20080210"
"236","20080218"
"237","20080226"
"238","20080305"
"239","20080313"
"240","20080321"
"241","20080329"
"242","20080406"
"243","20080414"
"244","20080422"
"245","20080430"
"246","20080508"
"247","20080516"
"248","20080524"
"249","20080601"
"250","20080609"
"251","20080617"
"252","20080625"
"253","20080703"
"254","20080711"
"255","20080719"
"256","20080727"
"257","20080804"
"258","20080812"
"259","20080820"
"260","20080828"
"261","20080905"
"262","20080913"
"263","20080921"
"264","20080929"
"265","20081007"
"266","20081015"
"267","20081023"
"268","20081031"
"269","20081108"
"270","20081116"
"271","20081124"
"272","20081202"
"273","20090101"
"274","20090109"
"275","20090117"
"276","20090125"
"277","20090202"
"278","20090210"
"279","20090218"
"280","20090226"
"281","20090306"
"282","20090314"
"283","20090322"
"284","20090330"
"285","20090407"
"286","20090415"
"287","20090423"
"288","20090501"
"289","20090509"
"290","20090517"
"291","20090525"
"292","20090602"
"293","20090610"
"294","20090618"
"295","20090626"
"296","20090704"
"297","20090712"
"298","20090720"
"299","20090728"
"300","20090805"
"301","20090813"
"302","20090821"
"303","20090829"
"304","20090906"
"305","20090914"
"306","20090922"
"307","20090930"
"308","20091008"
"309","20091016"
"310","20091024"
"311","20091101"
"312","20091109"
"313","20091117"
"314","20091125"
"315","20091203"
"316","20100109"
"317","20100117"
"318","20100125"
"319","20100202"
"320","20100210"
"321","20100218"
"322","20100226"
"323","20100306"
"324","20100314"
"325","20100322"
"326","20100330"
"327","20100407"
"328","20100415"
"329","20100423"
"330","20100501"
"331","20100509"
"332","20100517"
"333","20100525"
"334","20100602"
"335","20100610"
"336","20100618"
"337","20100626"
"338","20100704"
"339","20100712"
"340","20100720"
"341","20100728"
"342","20100805"
"343","20100813"
"344","20100821"
"345","20100829"
"346","20100906"
"347","20100914"
"348","20100922"
"349","20100930"
"350","20101008"
"351","20101016"
"352","20101024"
"353","20101101"
"354","20101109"
"355","20101117"
"356","20101125"
"357","20101203"
"358","20110101"
"359","20110109"
"360","20110117"
"361","20110125"
"362","20110202"
"363","20110210"
"364","20110218"
"365","20110226"
"366","20110306"
"367","20110314"
"368","20110322"
"369","20110330"
"370","20110407"
"371","20110415"
"372","20110423"
"373","20110501"
"374","20110509"
"375","20110517"
"376","20110525"
"377","20110602"
"378","20110610"
"379","20110618"
"380","20110626"
"381","20110704"
"382","20110712"
"383","20110720"
"384","20110728"
"385","20110805"
"386","20110813"
"387","20110821"
"388","20110829"
"389","20110906"
"390","20110914"
"391","20110922"
"392","20110930"
"393","20111008"
"394","20111016"
"395","20111024"
"396","20111101"
"397","20111109"
"398","20111117"
"399","20111125"
"400","20120109"
"401","20120117"
"402","20120125"
"403","20120202"
"404","20120210"
"405","20120218"
"406","20120226"
"407","20120305"
"408","20120313"
"409","20120321"
"410","20120329"
"411","20120406"
"412","20120414"
"413","20120422"
"414","20120430"
"415","20120508"
"416","20120516"
"417","20120524"
"418","20120601"
"419","20120609"
"420","20120617"
"421","20120625"
"422","20120703"
"423","20120711"
"424","20120719"
"425","20120727"
"426","20120804"
"427","20120812"
"428","20120820"
"429","20120828"
"430","20120905"
"431","20120913"
"432","20120921"
"433","20120929"
"434","20121007"
"435","20121015"
"436","20121023"
"437","20121031"
"438","20121108"
"439","20121116"
"440","20121124"
"441","20130101"
"442","20130109"
"443","20130117"
"444","20130125"
"445","20130202"
"446","20130210"
"447","20130218"
"448","20130226"
"449","20130306"
"450","20130314"
"451","20130322"
"452","20130330"
"453","20130407"
"454","20130415"
"455","20130423"
"456","20130501"
"457","20130509"
"458","20130517"
"459","20130525"
"460","20130602"
"461","20130610"
"462","20130618"
"463","20130626"
"464","20130704"
"465","20130712"
"466","20130720"
"467","20130728"
"468","20130805"
"469","20130813"
"470","20130821"
"471","20130829"
"472","20130906"
"473","20130914"
"474","20130922"
"475","20130930"
"476","20131008"
"477","20131016"
"478","20131024"
"479","20131101"
"480","20131109"
"481","20131117"
"482","20131125"
"483","20131203"
"484","20140101"
"485","20140109"
"486","20140117"
"487","20140125"
"488","20140202"
"489","20140210"
"490","20140218"
"491","20140226"
"492","20140306"
"493","20140314"
"494","20140322"
"495","20140330"
"496","20140407"
"497","20140415"
"498","20140423"
"499","20140501"
"500","20140509"
"501","20140517"
"502","20140525"
"503","20140602"
"504","20140610"
"505","20140618"
"506","20140626"
"507","20140704"
"508","20140712"
"509","20140720"
"510","20140728"
"511","20140805"
"512","20140813"
"513","20140821"
"514","20140829"
"515","20140906"
"516","20140914"
"517","20140922"
"518","20140930"
"519","20141008"
"520","20141016"
"521","20141024"
"522","20141101"
"523","20141109"
"524","20141117"
"525","20141125"
"526","20141203"
"527","20150101"
"528","20150109"
"529","20150117"
"530","20150125"
"531","20150202"
"532","20150210"
"533","20150218"
"534","20150226"
"535","20150306"
"536","20150314"
"537","20150322"
"538","20150330"
"539","20150407"
"540","20150415"
"541","20150423"
"542","20150501"
"543","20150509"
"544","20150517"
"545","20150525"
"546","20150602"
"547","20150610"
"548","20150618"
"549","20150626"
"550","20150704"
"551","20150712"
"552","20150720"
"553","20150728"
"554","20150805"
"555","20150813"
"556","20150821"
"557","20150829"
"558","20150906"
"559","20150914"
"560","20150922"
"561","20150930"
"562","20151008"
"563","20151016"
"564","20151024"
"565","20151101"
"566","20151109"
"567","20151117"
"568","20151125"
"569","20160101"
"570","20160109"
"571","20160117"
"572","20160125"
"573","20160202"
"574","20160210"
"575","20160218"
"576","20160226"
"577","20160305"
"578","20160313"
"579","20160321"
"580","20160329"
"581","20160406"
"582","20160414"
"583","20160422"
"584","20160430"
"585","20160508"
"586","20160516"
"587","20160524"
"588","20160601"
"589","20160609"
"590","20160617"
"591","20160625"
"592","20160703"
"593","20160711"
"594","20160719"
"595","20160727"
"596","20160804"
"597","20160812"
"598","20160820"
"599","20160828"
"600","20160905"
"601","20160913"
"602","20160921"
"603","20160929"
"604","20161007"
"605","20161015"
"606","20161023"
"607","20161031"
"608","20161108"
"609","20161116"
"610","20161124"
"611","20170101"
"612","20170109"
"613","20170117"
"614","20170125"
"615","20170202"
"616","20170210"
"617","20170218"
"618","20170226"
"619","20170306"
"620","20170314"
"621","20170322"
"622","20170330"
"623","20170407"
"624","20170415"
"625","20170423"
"626","20170501"
"627","20170509"
"628","20170517"
"629","20170525"
"630","20170602"
"631","20170610"
"632","20170618"
"633","20170626"
"634","20170704"
"635","20170712"
"636","20170720"
"637","20170728"
"638","20170805"
"639","20170813"
"640","20170821"
"641","20170829"
"642","20170906"
"643","20170914"
"644","20170922"
"645","20170930"
"646","20171008"
"647","20171016"
"648","20171024"
"649","20171101"
"650","20171109"
"651","20171117"
"652","20171125"
"653","20171203"
"654","20180101"
"655","20180109"
"656","20180117"
"657","20180125"
"658","20180202"
"659","20180210"
"660","20180218"
"661","20180226"
"662","20180306"
"663","20180314"
"664","20180322"
"665","20180330"
"666","20180407"
"667","20180415"
"668","20180423"
"669","20180501"
"670","20180509"
"671","20180517"
"672","20180525"
"673","20180602"
"674","20180610"
"675","20180618"
"676","20180626"
"677","20180704"
"678","20180712"
"679","20180720"
"680","20180728"
"681","20180805"
"682","20180813"
"683","20180821"
"684","20180829"
"685","20180906"
"686","20180914"
"687","20180922"
"688","20180930"
"689","20181008"
"690","20181016"
"691","20181024"
"692","20181101"
"693","20181109"
"694","20181117"
"695","20181125"
"696","20181203"
"697","20190101"
"698","20190109"
"699","20190117"
"700","20190125"
"701","20190202"
"702","20190210"
"703","20190218"
"704","20190226"
"705","20190306"
"706","20190314"
"707","20190322"
"708","20190330"
"709","20190407"
"710","20190415"
"711","20190423"
"712","20190501"
"713","20190509"
"714","20190517"
"715","20190525"
"716","20190602"
"717","20190610"
"718","20190618"
"719","20190626"
"720","20190704"
"721","20190712"
"722","20190720"
"723","20190728"
"724","20190805"
"725","20190813"
"726","20190821"
"727","20190829"
"728","20190906"
"729","20190914"
"730","20190922"
"731","20190930"
"732","20191008"
"733","20191016"
"734","20191024"
"735","20191101"
"736","20191109"
"737","20191117"
"738","20191125"
"739","20200101"
"740","20200109"
"741","20200117"
"742","20200125"
"743","20200202"
"744","20200210"
"745","20200218"
"746","20200226"
"747","20200305"
"748","20200313"
"749","20200321"
"750","20200329"
"751","20200406"
"752","20200414"
"753","20200422"
"754","20200430"
"755","20200508"
"756","20200516"
"757","20200524"
"758","20200601"
"759","20200609"
"760","20200617"
"761","20200625"
"762","20200703"
"763","20200711"
"764","20200719"
"765","20200727"
"766","20200804"
"767","20200812"
"768","20200828"
"769","20200905"
"770","20200913"
"771","20200921"
"772","20200929"
"773","20201007"
"774","20201015"
"775","20201023"
"776","20201031"
"777","20201108"
"778","20201116"
"779","20201124"
"780","20201202"
"781","20210101"
"782","20210109"
"783","20210117"
"784","20210125"
"785","20210202"
"786","20210210"
"787","20210218"
"788","20210226"
"789","20210306"
"790","20210314"
"791","20210322"
"792","20210330"
"793","20210407"
"794","20210415"
"795","20210423"
"796","20210501"
"797","20210509"
"798","20210517"
"799","20210525"
"800","20210602"
"801","20210610"
"802","20210618"
"803","20210626"
"804","20210704"
"805","20210712"
"806","20210720"
"807","20210728"
"808","20210805"
"809","20210813"
"810","20210821"
"811","20210829"
"812","20210906"
"813","20210914"
"814","20210922"
"815","20210930"
"816","20211008"
"817","20211016"
"818","20211024"
"819","20211101"
"820","20211109"
"821","20211117"
"822","20211203"
"823","20220109"
"824","20220117"
"825","20220125"
"826","20220202"
"827","20220210"
"828","20220218"
"829","20220226"
"830","20220306"
"831","20220314"
"832","20220322"
"833","20220330"
"834","20220415"
"835","20220423"
"836","20220501"
"837","20220509"
"838","20220517"
"839","20220525"
"840","20220602"
"841","20220610"
"842","20220618"
"843","20220626"
"844","20220704"
"845","20220712"
"846","20220720"
"847","20220728"
"848","20220805"
"849","20220813"
"850","20220821"
"851","20220829"
"852","20220906"
"853","20220914"
"854","20220922"
"855","20220930"
"856","20221008"
"857","20221016"
"858","20221024"
"859","20221101"
"860","20221109"
"861","20221117"
"862","20221125"
"863","20230109"
"864","20230117"
"865","20230125"
"866","20230202"
"867","20230210"
"868","20230218"
"869","20230226"
"870","20230306"
"871","20230314"
"872","20230322"
"873","20230330"
"874","20230407"
"875","20230415"
"876","20230423"
"877","20230501"
"878","20230509"
"879","20230517"
"880","20230525"
"881","20230602"
"882","20230610"
"883","20230618"
"884","20230626"
"885","20230704"
"886","20230712"
"887","20230720"
"888","20230728"
"889","20230805"
"890","20230813"
"891","20230821"
"892","20230829"
"893","20230906"
"894","20230914"
"895","20230922"
"896","20230930"
"897","20231008"
"898","20231016"
"899","20231024"
"900","20231101"
"901","20231109"
"902","20231117"
"903","20231125"
"904","20240109"
"905","20240117"
"906","20240125"
"907","20240202"
"908","20240210"
"909","20240218"
"910","20240226"
"911","20240305"
"912","20240313"
"913","20240321"
"914","20240329"
"915","20240406"
"916","20240414"
"917","20240422"
"918","20240430"
"919","20240508"
"920","20240516"
"921","20240524"
"922","20240601"
"923","20240609"
"924","20240617"
"925","20240625"
"926","20240703"
"927","20240711"
"928","20240719"
"929","20240727"
"930","20240804"
"931","20240812"
"932","20240820"
"933","20240828"
"934","20240905"
"935","20240913"
"936","20240921"
"937","20240929"
"938","20241007"
"939","20241015"
"940","20241023"
"941","20241031"
